1,Cuota 1,100.0,28/08/2022,01/01/2023,COD1
2,Cuota 2,150.0,28/08/2022,15/02/2023,COD2
3,Cuota 3,200.0,28/08/2022,28/03/2023,COD1
4,Cuota 4,120.0,28/08/2022,01/04/2023,COD1
5,Cuota 5,180.0,28/08/2022,15/05/2023,COD1
6,Cuota 6,220.0,28/08/2022,28/06/2023,COD1
7,Cuota 7,250.0,28/08/2022,01/07/2023,COD1
8,Cuota 8,300.0,28/08/2022,15/08/2023,COD1
9,Cuota 9,170.0,28/08/2022,01/09/2023,COD2
10,Cuota 10,200.0,28/08/2022,15/10/2023,COD2
11,Cuota 11,230.0,28/08/2022,28/11/2023,COD2
12,Cuota 12,260.0,28/08/2022,01/12/2023,COD2
13,Cuota 13,300.0,28/08/2022,15/01/2024,COD2
